id,name,KM 1,Precio 1,Precio 1 descuento,KM 2,Precio 2,Precios 2 descuneto,KM 3,Precio 3,Precios 3 descuneto,KM 4,Precio 4,stock,category,Destacadas,Image 1,Image 2,Image 3
,TOP NUTRITION CACHORRO RAZA PEQUEÑA ,3KG,23000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/CLyVS361/TOP-NUTRITION-CACHORRO-RAZA-PEQUENA-3KG.webp,,
,VITAL CAN BALANCED ADULTO RAZA PEQUEÑA ,3KG,21000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/d05QgNfY/VITAL-CAN-BALANCED-ADULTO-RAZA-PEQUENA-3KG.png,,
,VITAL CAN PREMIUN ADULTO ,22KG,69000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/t70W9rNM/VITAL-CAN-PREMIUN-22KG.webp,,
,VITAL CAN THERAPY RENAL CARE ADULTO ,2KG,23000,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/vBG8hqtc/VITAL-CAN-THERAPY-RENAL-ADULTO-2KG.webp,,
,VITAL CAN THERAPY GATO URINARY ,2KG,33500,,,,,,,,,,3,GATO,FALSE,https://i.postimg.cc/L8N9qwTn/VITAL-CAN-THERAPY-GATO-URINARY-2KG.webp,,
,"VITAL CAN COMPLETE JUNIOR PEQ, MED/GR ",3KG,14200,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/YSwM2DHf/VITAL-CAN-COMPLETE-JUNIOR-PEQ-MED-GR-3KG.webp,,
,VITAL CAN COMPLETE ADULTO RAZA PEQUEÑA,3KG,13300,,,,,,,,,,3,PERRO,FALSE,https://i.postimg.cc/g0zxQ3M0/VITAL-CAN-COMPLETE-ADULTO-RAZA-PEQUENA-3KG.webp,,
0446,OLD PRINCE PREMIUN GATO ADULTO ,"7,5KG",38600,,3KG,19200,,,,,,,3,GATO,FALSE,https://i.postimg.cc/W1GvJX2L/OLD-PRINCE-PREMIUN-GATO-ADULTO-3KG.webp,https://i.postimg.cc/Wb9MLs9J/OLD-PRINCE-PREMIUN-GATO-ADULTO-TABLA-NUTRICIONAL.jpg,
0442,OLD PRINCE GATO EQUILIBRUIM ESTERIL ,3KG,25400,,"7,5KG",59300,,,,,,,3,GATO,FALSE,https://i.postimg.cc/c130SsV4/OLD-PRINCE-GATO-EQUILIBRUIM-ESTERIL-3KG.webp,https://i.postimg.cc/vZghBR9g/OLD-PRINCE-EQUILIBRIUM-GATO-ESTERILIZADO.jpg,
0430,OLD PRINCE COR/ARR MED/GR ,15KG,79000,,3KG,18800,,"7,5KG",42800,,,,3,PERRO,FALSE,https://i.postimg.cc/sXy9gfwb/OLD-PRINCE-COR-ARR-MED-GR-15KG.webp,https://i.postimg.cc/8Cf0qJwJ/OLD-PRINCE-CORDERO-Y-ARROZ-MEDIANO-GRANDE-TABLA-NUTRICIONAL.jpg,
